X,Y,Nedbor,Month
12.0,1.5,172.0,7.0
12.0,1.5,319.0,8.0
12.0,1.5,343.0,9.0
12.0,1.5,326.0,10.0
12.0,1.5,200.0,11.0
12.0,1.5,210.0,12.0
12.0,5.0,253.0,1.0
12.0,5.0,272.0,2.0
12.0,5.0,386.0,3.0
12.0,5.0,327.0,4.0
12.0,5.0,288.0,5.0
12.0,5.0,362.0,6.0
12.0,5.0,424.0,7.0
12.0,5.0,499.0,8.0
12.0,5.0,499.0,9.0
12.0,5.0,443.0,10.0
12.0,5.0,380.0,11.0
12.0,5.0,322.0,12.0
